branching_types,n_end,k,uscat,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
a,1,1.0,(-0.7009373613473742-1.0811585241050148j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,1.4142135623730951,(0.13757642693420757-0.8289024976315608j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,2.0,(0.32082278629105265-0.6156151751363799j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,2.8284271247461903,(0.7045484424266211-0.15722632349229793j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,4.0,(0.6708504282400949+0.6245162596494485j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,5.656854249492381,(-0.6383969760923406+0.4306324528855618j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,8.0,(0.1662692676434488-0.7160311259121828j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,11.313708498984761,(-0.25313001893806003+0.6860700374582827j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,16.0,(0.7031464847870843+0.1661568311557391j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,22.627416997969522,(0.6642842401830107+0.41545787771435505j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,32.0,(-0.6710517609969929-0.38189582523277j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,45.254833995939045,(-0.20666596200125134-0.7689235889604538j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,64.0,(-0.2994799280126777-0.7402560549562187j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,90.50966799187809,(0.636755372401405-0.42467024968446265j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,128.0,(0.5291537144594198-0.5506456834587603j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,181.01933598375618,(-0.2825558193883314+0.7012439894494652j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,256.0,(0.016324093327200945+0.7654686878694059j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,362.03867196751236,(0.5721943308893873+0.5218240768289628j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,512.0,(0.7534771953413578-0.05798701871509633j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,1,724.0773439350247,(-0.03729931070540925-0.764661366593828j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,1.0,(-1.2724444176210574-0.6512232561781957j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,1.4142135623730951,(-0.25074416852873416-2.537601631717213j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,2.0,(0.8445618471966172-0.527241372191403j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,2.8284271247461903,(0.7252824926180266-0.3130821704455332j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,4.0,(0.9555821002959033+0.79321095057478j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,5.656854249492381,(-0.7198259388281689+0.41505294353793043j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,8.0,(0.46011391985387184-1.2090347740668916j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,11.313708498984761,(-0.5992662374788258+0.9887533439185379j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,16.0,(1.0799015307317748+0.1847353916999389j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,22.627416997969522,(0.9645609140206449+0.6111899246065129j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,32.0,(-0.9810226167342411-0.5623008579403093j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,45.254833995939045,(-0.35836229285689725-1.1230358950483772j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,64.0,(-0.47242771216629753-1.0532457243797106j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,90.50966799187809,(0.8486738339451232-0.5465857575711907j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,128.0,(0.7564508324637573-0.7117255619776103j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,181.01933598375618,(-0.4621327131534224+0.9995408551032925j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,256.0,(0.028094835461733032+1.1291500609448417j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,362.03867196751236,(0.8158143878583908+0.745150988357541j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,512.0,(1.0645821521121077-0.10943094803873925j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,724.0773439350247,(-0.05796853121613653-1.1113760248836302j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,1.0,(-1.3533486331756501-0.6501711414856097j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,1.4142135623730951,(-0.943435074689787-2.1971531716399344j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,2.0,(1.3533496733356771-1.0516203921321106j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,2.8284271247461903,(0.8213351328054921-0.17356003757663746j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,4.0,(1.8362345387440824+0.5156385887638417j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,5.656854249492381,(-0.9918002714595064+0.46110649823704764j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,8.0,(0.651808918798242-1.3935315947216749j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
