branching_types,n_end,uscat,k,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
ba,1,(-0.7212634674645428-1.035771016852753j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(0.011666133124824831-1.0705684302374094j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(0.39834771205124425-0.8084194211098266j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(0.9594283641081254-0.33453793897993434j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(0.701165998241811+0.7697302540111033j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(-0.7891482721577703+0.6009340113899717j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(0.17047408859825286-0.9718400574429971j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(-0.3186225316313305+0.9300273236885217j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(0.955887576070195+0.283782579445429j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,1,(0.8097385680379806+0.5904685121291522j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(-0.7080011204440769-0.6778131683044611j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(-0.1610945756435344-1.157519828887421j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(0.5452015623850079-0.5926464427748256j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(0.6180377337899989-0.29940758105150866j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(0.5673230978524463+0.724300796682046j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(-0.61182038577076+0.4294899864837345j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(0.15500786109570316-0.831395984799016j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(-0.28774544413009073+0.7851424791114503j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(0.8349583599993333+0.2211364155648865j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,2,(0.6912606860388388+0.5129591233746326j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(-0.7457763906050539-0.6679929362532154j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(-0.32263534354196444-1.1203900479843065j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(0.5961937126254475-0.9058350839985542j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(0.6850154480796558-0.20018729354398185j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(1.1536273626588436+0.7107791318245322j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(-0.6886634007602+0.5429967679620703j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(0.2603186528828524-0.9130318612138633j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(-0.3462382045744966+0.8592032154697145j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(0.9788849343876933+0.2171601212635567j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,3,(0.8627145961451049+0.5772419854041875j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(-0.7412665615983121-0.6694083797299997j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(-0.3085454097950135-1.110435328120746j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(0.5415752687198958-0.8971760463752108j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(0.789283218203297-0.2006284913018944j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(0.8828339665905908+0.428511796114824j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(-0.5981493386097274+0.3727004887430688j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(0.3862473561891067-1.0551187508500846j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(-0.4529382655316862+0.8779241789332098j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(1.0438931503474616+0.15804248129575776j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,4,(0.8962569043581076+0.6151869101411802j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(-0.7413481835917307-0.6696324021686515j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(-0.30771867808455666-1.1107790323323203j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(0.5415882268535956-0.8904297058411577j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(0.7791896296935351-0.23143526436832834j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(0.7821057447741298+0.5529346431573079j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(-0.8406416153403891+0.21693700738472993j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(0.43194670632892274-1.0240242027621183j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(-0.46490855455068586+0.8124723081430236j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(0.9609199626921228+0.0877626647324399j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,5,(0.9663719509210851+0.5360056633849396j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(-0.74133301331334-0.6696574197988229j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(-0.307643850465652-1.110852701319574j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(0.542175499062178-0.8902365794772915j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(0.7747539411582641-0.22929684679830187j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(0.8333193378853376+0.5761471832131568j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(-0.9014860574929998+0.4917412449405632j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(0.6340975008879923-1.5567528461889253j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(-0.7509895732375396+0.848597066913489j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(0.9855867689231176+0.04362944575559309j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,6,(1.0006611833585253+0.5561830694086938j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(-0.7413323819040156-0.6696600520169055j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(-0.3076401282459058-1.1108603254944645j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(0.5422161536696937-0.8902562768400069j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(0.7749122641394093-0.22879247045160495j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(0.8352512031776453+0.5652622160820955j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(-0.7690901206996169+0.45207827486902313j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(-0.09377952580699937-1.3586456791575117j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(-0.6568090400475274+1.0999922819043295j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(0.8424240978939473-0.012568577864852382j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,7,(1.0533918783845158+0.3913107730272444j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.7413322562750023-0.6696603481750854j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.3076397845953033-1.1108610776457244j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.5422182065691523-0.8902589614594408j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.7749576173600827-0.22878698457293944j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.833755539228527+0.5650223922783966j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.79964613809357+0.41872041943150373j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.16742238648256608-0.9943827346223196j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(-0.7675076282758442+1.2016798440987j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.8159596642027764+0.05580678158932165j),16.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,8,(0.9986859806416423+0.3852129615081654j),22.627416997969522,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.7413322427403564-0.6696603829149285j),1.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.30763975044282077-1.1108611571206723j),1.4142135623730951,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.5422183065986775-0.8902591901935784j),2.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.7749601518682717-0.22878947917431086j),2.8284271247461903,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.8336934371563818+0.5651786447106713j),4.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.8036259182477286+0.42794785527791995j),5.656854249492381,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(0.3294144950706562-1.2030213307155166j),8.0,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
ba,9,(-0.25810821032067016+1.4001614481639573j),11.313708498984761,cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
