branching_types,n_end,k,n_balls,uscat,device,dtype,density_dtype,density_device,uscat_dtype,uscat_device
a,1,1,4,(-1.4622316929959318+0.5466101869532745j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,2,1,4,(-1.0223513627110807+0.3741787748433614j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,3,1,4,(-1.1049883790535775+0.3542058935414773j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,4,1,4,(-1.1072504538041044+0.3525729554649786j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,5,1,4,(-1.1072824946295472+0.3517104480084874j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,6,1,4,(-1.1072545590414062+0.35168536792567096j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,8,1,4,(-1.1072550618281818+0.35168577431008113j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,9,1,4,(-1.107255061949031+0.35168577561532743j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,11,1,4,(-1.1072550619430093+0.3516857756513867j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,13,1,4,(-1.107255061942756+0.35168577565058434j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,16,1,4,(-1.1072550619427572+0.35168577565058445j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,19,1,4,(-1.107255061942757+0.3516857756505861j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,22,1,4,(-1.1072550619427564+0.3516857756505838j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,26,1,4,(-1.1072550619427577+0.35168577565058345j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,32,1,4,(-1.1072550619427566+0.35168577565058357j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,38,1,4,(-1.1072550619427577+0.3516857756505847j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,45,1,4,(-1.107255061942757+0.35168577565058445j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
a,53,1,4,(-1.1072550619427564+0.3516857756505837j),cpu,<class 'numpy.float64'>,complex128,cpu,complex128,cpu
